date,IPG3113N
1/1/1972,85.6945
2/1/1972,71.82
3/1/1972,66.0229
4/1/1972,64.5645
5/1/1972,65.01
6/1/1972,67.6467
7/1/1972,69.0429
8/1/1972,70.837
9/1/1972,75.0462
10/1/1972,106.9289
11/1/1972,105.5962
12/1/1972,105.9673
1/1/1973,91.2997
2/1/1973,77.27
3/1/1973,69.611
4/1/1973,70.2986
5/1/1973,71.6822
6/1/1973,74.8635
7/1/1973,72.0464
8/1/1973,73.1748
9/1/1973,80.5915
10/1/1973,102.92
11/1/1973,109.2524
12/1/1973,105.221
1/1/1974,88.6985
2/1/1974,83.6098
3/1/1974,77.23
4/1/1974,67.3209
5/1/1974,74.6196
6/1/1974,79.5858
7/1/1974,66.0568
8/1/1974,71.1864
9/1/1974,70.175
10/1/1974,99.2212
11/1/1974,101.1201
12/1/1974,86.893
1/1/1975,67.0117
2/1/1975,52.6964
3/1/1975,50.6689
4/1/1975,59.7613
5/1/1975,60.8277
6/1/1975,63.3629
7/1/1975,62.3089
8/1/1975,66.9021
9/1/1975,66.32
10/1/1975,96.3411
11/1/1975,105.6285
12/1/1975,102.1819
1/1/1976,87.9578
2/1/1976,75.1878
3/1/1976,62.0101
4/1/1976,64.4758
5/1/1976,70.5454
6/1/1976,68.2086
7/1/1976,69.3122
8/1/1976,71.5922
9/1/1976,76.9073
10/1/1976,107.9049
11/1/1976,111.6584
12/1/1976,113.9655
1/1/1977,97.3515
2/1/1977,90.0083
3/1/1977,77.2871
4/1/1977,76.0459
5/1/1977,77.9316
6/1/1977,78.3077
7/1/1977,75.8701
8/1/1977,78.1822
9/1/1977,84.2727
10/1/1977,109.2254
11/1/1977,106.1656
12/1/1977,113.0575
1/1/1978,90.1141
2/1/1978,80.4678
3/1/1978,76.464
4/1/1978,77.4211
5/1/1978,76.7081
6/1/1978,78.1769
7/1/1978,72.4653
8/1/1978,75.9054
9/1/1978,82.732
10/1/1978,105.0435
11/1/1978,111.6915
12/1/1978,114.0821
1/1/1979,98.6382
2/1/1979,84.7727
3/1/1979,81.0653
4/1/1979,77.1607
5/1/1979,78.378
6/1/1979,81.0958
7/1/1979,74.7939
8/1/1979,77.1113
9/1/1979,80.8078
10/1/1979,101.097
11/1/1979,106.7263
12/1/1979,105.622
1/1/1980,86.9268
2/1/1980,84.4365
3/1/1980,74.4834
4/1/1980,65.561
5/1/1980,74.3631
6/1/1980,76.9925
7/1/1980,71.0376
8/1/1980,77.2616
9/1/1980,77.951
10/1/1980,100.8283
11/1/1980,106.7109
12/1/1980,107.0469
1/1/1981,96.3481
2/1/1981,90.4918
3/1/1981,78.0943
4/1/1981,78.0284
5/1/1981,83.3531
6/1/1981,83.0404
7/1/1981,79.2798
8/1/1981,81.7679
9/1/1981,83.2954
10/1/1981,118.4981
11/1/1981,116.9605
12/1/1981,113.2558
1/1/1982,95.9863
2/1/1982,92.9899
3/1/1982,83.0765
4/1/1982,73.5603
5/1/1982,76.4383
6/1/1982,78.5492
7/1/1982,76.3145
8/1/1982,77.7653
9/1/1982,81.3017
10/1/1982,114.1349
11/1/1982,114.9389
12/1/1982,115.1824
1/1/1983,95.1877
2/1/1983,87.1973
3/1/1983,77.9717
4/1/1983,73.7339
5/1/1983,75.5696
6/1/1983,74.7701
7/1/1983,76.334
8/1/1983,79.558
9/1/1983,82.8953
10/1/1983,110.448
11/1/1983,106.51
12/1/1983,103.9983
1/1/1984,93.8437
2/1/1984,86.322
3/1/1984,78.9029
4/1/1984,75.6699
5/1/1984,77.883
6/1/1984,77.669
7/1/1984,76.908
8/1/1984,81.232
9/1/1984,85.8844
10/1/1984,112.1683
11/1/1984,115.5118
12/1/1984,112.8158
1/1/1985,97.6849
2/1/1985,87.1184
3/1/1985,79.1429
4/1/1985,76.2069
5/1/1985,77.3304
6/1/1985,75.8357
7/1/1985,75.1953
8/1/1985,79.9166
9/1/1985,89.5288
